"thunder","altDogID","altSireID","altDamID"
5,"R5877","R4240","R1467"
5,"R5888","R4504","R4581"
5,"R5889","R4504","R4581"
5,"R5894","R4240","R4632"
2,"R5895","R4240","R4632"
5,"R5897","R4240","R4632"
3,"R5898","R4240","R4632"
3,"R5900","R2553","R2058"
4,"R5901","R2553","R2058"
5,"R5904","R4240","R4982"
5,"R5905","R4240","R4982"
5,"R5906","R4240","R4982"
5,"R5907","R4240","R4982"
5,"R5908","R4240","R4982"
5,"R5909","R4240","R4982"
5,"R5911","R4504","R3732"
5,"R5912","R4504","R3732"
5,"R5919","R4240","R2735"
5,"R5922","R4240","R2735"
4,"R5923","R4240","R2735"
2,"R5924","R4240","R2735"
5,"R5930","R4240","R1808"
4,"R5931","R4240","R1808"
2,"R5932","R4240","R1808"
5,"R5933","R4240","R1808"
1,"R5913","R3148","R1659"
4,"R5914","R3148","R1659"
5,"R5917","R3148","R1659"
5,"R5918","R3148","R1659"
5,"R5934","R4372","R2271"
5,"R5937","R4372","R2271"
2,"R5938","R4372","R2271"
5,"R5941","R4372","R2271"
2,"R5942","R4372","R2271"
3,"R5943","R2553","R3640"
2,"R5946","R2553","R3640"
5,"R5947","R2553","R3640"
5,"R5948","R2553","R3640"
4,"R5949","R2553","R3640"
5,"R5951","R2553","R3640"
5,"R5953","R4240","R1444"
4,"R5957","R4240","R1444"
4,"R5959","R4240","R1444"
5,"R5963","R5081","R3902"
1,"R5966","R5081","R3902"
2,"R5972","R5081","R3668"
1,"R5974","R5081","R3668"
1,"R5976","R5081","R3668"
5,"R5978","R3148","R1327"
5,"R5979","R3148","R1327"
5,"R5985","R3148","R4714"
4,"R5990","R4965","R3822"
5,"R5992","R4965","R3822"
5,"R5993","R4240","R3830"
5,"R5994","R4240","R3830"
1,"R5995","R4240","R3830"
5,"R5996","R4240","R3830"
5,"R5997","R4240","R3830"
5,"R5998","R4504","R3928"
4,"R5999","R4504","R3928"
2,"R6000","R4504","R3928"
1,"R6006","R5081","R2941"
3,"R6007","R5081","R2941"
1,"R6008","R5081","R2941"
1,"R6011","R5081","R2941"
2,"R6013","R4240","R4591"
4,"R6015","R4240","R4591"
5,"R6016","R4240","R4591"
1,"R6017","R4240","R4591"
5,"R6018","R4240","R4591"
5,"R6019","R4240","R4591"
5,"R6020","R4240","R4591"
5,"R6021","R4240","R4591"
5,"R6027","R3148","R3989"
5,"R6031","R4965","R4630"
2,"R6032","R4965","R4630"
1,"R6034","R4965","R4630"
5,"R6036","R4965","R4630"
2,"R6037","R4965","R4630"
5,"R6038","R4965","R4630"
5,"R6039","R5081","R3147"
4,"R6041","R5081","R3147"
5,"R6046","R4639","R4105"
4,"R6047","R4639","R4105"
5,"R6050","R4639","R3774"
5,"R6059","R4240","R4829"
5,"R6060","R4240","R4829"
5,"R6063","R4965","R3990"
5,"R6074","R4372","R2197"
2,"R6079","R2553","R3667"
1,"R6080","R2553","R3667"
1,"R6082","R2553","R3667"
2,"R6084","R2553","R3667"
4,"R6075","R4372","R2197"
3,"R6077","R4372","R2197"
5,"R6087","R4240","R3311"
5,"R6088","R4240","R3311"
5,"R6092","R3148","R4835"
4,"R6093","R3148","R4835"
2,"R6094","R4240","R4726"
5,"R6095","R4240","R4726"
1,"R6099","R4240","R3189"
5,"R6102","R4240","R3189"
3,"R6098","R4240","R4726"
2,"R6103","R4240","R3189"
2,"R6104","R4240","R3189"
2,"R6109","R4639","R2057"
5,"R6110","R4639","R2057"
